type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagNormAccuracy,lagReward,lagReward2,lagReward3,lagReward21,lagDelay,rewardRate,lagRewardRate,windowReward
5,41,2,82,4,1.9663456012222,1.4,60.9,0,-0.0336543987777986,-1.40986971573471,-0.80825184681717,4.47119442443909,-0.143898857817539,2.8,0.7,0,0.7,8,0.35,0.35,1.63333333333333
5,41,2,83,4,2.22995374030143,0,60.95,0,0.229953740301426,-1.23081868204398,-0.236394516251647,1.9663456012222,-0.80825184681717,1.4,2.8,0.7,1.4,4,0,0.35,1.4
5,41,2,84,10,6.15871099184005,1.4,62.35,0,1.15871099184005,1.43771822074311,0.37841138765724,2.22995374030143,-0.236394516251647,0,1.4,2.8,2.8,4,0.14,0,0.933333333333333
5,41,2,85,6,3.23875176230285,1.4,63.75,0,0.238751762302854,-0.545610974666496,-0.363970048000022,6.15871099184005,0.37841138765724,1.4,0,1.4,2.8,10,0.233333333333333,0.14,0.933333333333333
5,41,2,86,6,3.83288977665507,1.4,65.15,0,0.832889776655065,-0.142053535217522,0.538076336417948,3.23875176230285,-0.363970048000022,1.4,1.4,0,2.8,6,0.233333333333333,0.233333333333333,1.4
5,41,2,88,8,2.96425605633885,1.4,69.35,0,-1.03574394366115,-0.732057190129327,-2.1338819253717,NaN,NaN,2.8,1.4,1.4,0.7,10,0.175,0.28,1.86666666666667
5,41,2,89,10,6.41606075924938,1.4,70.75,0,1.41606075924938,1.61251836931083,0.655549955551643,2.96425605633885,-2.1338819253717,1.4,2.8,1.4,0.7,8,0.14,0.175,1.86666666666667
5,41,2,90,4,2.19476106584989,0.7,71.45,0,0.194761065849889,-1.25472266604424,-0.312739612945603,6.41606075924938,0.655549955551643,1.4,1.4,2.8,0,10,0.175,0.14,1.16666666666667
5,41,2,91,6,3.26173528990876,2.8,74.25,0,0.261735289908756,-0.529999831588477,-0.329075448635464,2.19476106584989,-0.312739612945603,0.7,1.4,1.4,0,4,0.466666666666667,0.175,1.63333333333333
5,41,2,92,10,4.96511023038329,0,74.3,0,-0.0348897696167114,0.626986613974907,-0.906970794723595,3.26173528990876,-0.329075448635464,2.8,0.7,1.4,2.8,6,0,0.466666666666667,1.16666666666667
5,41,2,93,8,4.84692133740282,0.7,75,0,0.846921337402819,0.546708958160356,0.352266221425093,4.96511023038329,-0.906970794723595,0,2.8,0.7,0,10,0.0875,0,1.16666666666667
5,41,2,94,4,2.45766750960138,0.7,75.7,0,0.457667509601379,-1.07614824614171,0.257595497485177,4.84692133740282,0.352266221425093,0.7,0,2.8,0,8,0.175,0.0875,0.466666666666667
5,41,2,95,8,5.86651221354441,0.7,76.4,0,1.86651221354441,1.23924751540089,1.69868397964593,2.45766750960138,0.257595497485177,0.7,0.7,0,0,4,0.0875,0.175,0.7
5,41,2,96,8,5.38052823319413,2.8,79.2,0,1.38052823319413,0.909151736329739,1.05691925159083,5.86651221354441,1.69868397964593,0.7,0.7,0.7,1.4,8,0.35,0.0875,1.4
5,41,2,97,8,4.27819126226677,0.7,79.9,0,0.278191262266773,0.160409399277954,-0.39876862080029,5.38052823319413,1.05691925159083,2.8,0.7,0.7,0.7,8,0.0875,0.35,1.4
