type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagReward,lagDelay,rewardRate,lagRewardRate,windowReward
1,9,2,129,8,4.71967837100237,0.5,88.93,0,0.719678371002374,0.842998751740523,0.672965439644145,3.10073600499891,0.5,4,0.0625,0.125,0.5
1,9,2,131,10,4.94883476099858,2.3,92.43,0,-0.0511652390014206,0.99019024673606,0.143110794238315,NaN,1.2,8,0.23,0.15,1.33333333333333
1,9,2,132,8,4.35050546600178,2.3,94.73,0,0.350505466001778,0.605871993897188,0.363151840449394,4.94883476099858,2.3,10,0.2875,0.23,1.93333333333333
1,9,2,133,10,5.29536174399982,0,94.7400000000001,0,0.29536174399982,1.212771099424,0.382933463809809,4.35050546600178,2.3,8,0,0.2875,1.53333333333333
1,9,2,134,8,3.95926849800162,1.2,95.9400000000001,0,-0.0407315019983798,0.354573069968347,0.0348218586107365,5.29536174399982,0,10,0.15,0,1.16666666666667
1,9,2,135,6,3.78055123900049,1.2,97.1400000000001,0,0.780551239000488,0.239779585334046,0.67241639973959,3.95926849800162,1.2,8,0.2,0.15,0.8
1,9,2,136,6,3.86040268299985,2.3,99.4400000000001,0,0.860402682999847,0.291069682110369,0.74928044446748,3.78055123900049,1.2,6,0.383333333333333,0.2,1.56666666666667
1,9,2,137,8,2.86694912500025,1.2,100.64,0,-1.13305087499975,-0.347044377955851,-0.881863498943232,3.86040268299985,2.3,6,0.15,0.383333333333333,1.56666666666667
1,9,2,138,6,2.06273668799986,0.5,101.14,0,-0.937263312000141,-0.863605277252838,-0.981131336772124,2.86694912500025,1.2,8,0.0833333333333333,0.15,1.33333333333333
1,9,2,139,10,5.11674954899718,2.3,103.44,0,0.116749548997177,1.09804509938835,0.259320424927337,2.06273668799986,0.5,6,0.23,0.0833333333333333,1.33333333333333
1,9,2,140,8,2.98759983599666,0.5,103.94,0,-1.01240016400334,-0.269548138273724,-0.780612213941304,5.11674954899718,2.3,10,0.0625,0.23,1.1
1,9,2,141,10,4.03303901000254,1.2,105.14,0,-0.96696098999746,0.401957268803829,-0.490688570774813,2.98759983599666,0.5,8,0.12,0.0625,1.33333333333333
1,9,2,142,10,4.47566478299996,2.3,107.44,0,-0.524335217000043,0.686264196715042,-0.184358328950596,4.03303901000254,1.2,10,0.23,0.12,1.33333333333333
1,9,2,143,6,3.85518336499808,2.3,109.74,0,0.855183364998084,0.287717215179163,0.744256391397884,4.47566478299996,2.3,10,0.383333333333333,0.23,1.93333333333333
1,9,2,144,10,3.86119208499804,0.5,110.24,0,-1.13880791500196,0.291576729983954,-0.609619535270829,3.85518336499808,2.3,6,0.05,0.383333333333333,1.7
